episode,reward,score,length,epsilon,td_error,timestamp
188,-6.2594,0,50,0.389708,0.001034,2026-05-27T15:25:19.011344
189,-6.2594,0,50,0.387759,0.000978,2026-05-27T15:25:19.402435
190,-6.2145,0,50,0.385821,0.003376,2026-05-27T15:25:19.792517
191,-6.2184,0,50,0.383891,0.011344,2026-05-27T15:25:20.177639
192,-6.2145,0,50,0.381972,0.000593,2026-05-27T15:25:20.562462
193,-6.1969,0,50,0.380062,0.000327,2026-05-27T15:25:20.946363
194,-6.2145,0,50,0.378162,0.000245,2026-05-27T15:25:21.332383
195,-6.1773,0,50,0.376271,0.000300,2026-05-27T15:25:21.719700
196,-6.2594,0,50,0.374390,0.000225,2026-05-27T15:25:22.109316
197,-6.2594,0,50,0.372518,0.000310,2026-05-27T15:25:22.524131
198,-6.2516,0,50,0.370655,0.000231,2026-05-27T15:25:23.125383
199,-6.2223,0,50,0.368802,0.000233,2026-05-27T15:25:23.531256
200,-6.1930,0,50,0.366958,0.000289,2026-05-27T15:25:23.918431
201,-6.2008,0,50,0.365123,0.000269,2026-05-27T15:25:24.311981
202,-6.2320,0,50,0.363297,0.000218,2026-05-27T15:25:24.701196
203,-6.1988,0,50,0.361481,0.000212,2026-05-27T15:25:25.091505
204,-6.2242,0,50,0.359674,0.000201,2026-05-27T15:25:25.482286
205,-6.2066,0,50,0.357875,0.000193,2026-05-27T15:25:25.869349
206,-6.2164,0,50,0.356086,0.000220,2026-05-27T15:25:26.258183
207,-6.2594,0,50,0.354305,0.000207,2026-05-27T15:25:26.645231
208,-6.1910,0,50,0.352534,0.000215,2026-05-27T15:25:27.030865
209,-6.2047,0,50,0.350771,0.000191,2026-05-27T15:25:27.444149
210,-6.2457,0,50,0.349017,0.005103,2026-05-27T15:25:27.933971
211,-6.1813,0,50,0.347272,0.010157,2026-05-27T15:25:28.343759
212,-6.2457,0,50,0.345536,0.000801,2026-05-27T15:25:28.753126
213,-6.1754,0,50,0.343808,0.000395,2026-05-27T15:25:29.163270
214,-6.2203,0,50,0.342089,0.000302,2026-05-27T15:25:29.554778
215,-6.2438,0,50,0.340379,0.000373,2026-05-27T15:25:29.961205
216,-6.2145,0,50,0.338677,0.000255,2026-05-27T15:25:30.362657
217,-6.2047,0,50,0.336983,0.000269,2026-05-27T15:25:30.758246
218,-6.2008,0,50,0.335298,0.000229,2026-05-27T15:25:31.198030
219,-6.2438,0,50,0.333622,0.000323,2026-05-27T15:25:31.619036
220,-6.2457,0,50,0.331954,0.000321,2026-05-27T15:25:32.014172
221,-6.2320,0,50,0.330294,0.000401,2026-05-27T15:25:32.401954
222,-6.2125,0,50,0.328643,0.000185,2026-05-27T15:25:32.804568
223,-6.2320,0,50,0.326999,0.000219,2026-05-27T15:25:33.214969
224,-6.2086,0,50,0.325364,0.000209,2026-05-27T15:25:33.697168
225,-6.2457,0,50,0.323738,0.000240,2026-05-27T15:25:34.094913
226,-6.2320,0,50,0.322119,0.000224,2026-05-27T15:25:34.489252
227,-6.1969,0,50,0.320508,0.000220,2026-05-27T15:25:34.897245
228,-6.2438,0,50,0.318906,0.000274,2026-05-27T15:25:35.292580
229,-6.2320,0,50,0.317311,0.000308,2026-05-27T15:25:35.682419
230,-6.2184,0,50,0.315725,0.003096,2026-05-27T15:25:36.071616
231,-6.2320,0,50,0.314146,0.010161,2026-05-27T15:25:36.459120
232,-6.2145,0,50,0.312575,0.000524,2026-05-27T15:25:36.859934
233,-6.2594,0,50,0.311012,0.000477,2026-05-27T15:25:37.251182
234,-6.2203,0,50,0.309457,0.000371,2026-05-27T15:25:37.638162
235,-6.2047,0,50,0.307910,0.000447,2026-05-27T15:25:38.049276
236,-6.1930,0,50,0.306371,0.000365,2026-05-27T15:25:38.445666
237,-6.2184,0,50,0.304839,0.000406,2026-05-27T15:25:38.834292
238,-6.2184,0,50,0.303315,0.000596,2026-05-27T15:25:39.230787
239,-6.2145,0,50,0.301798,0.000375,2026-05-27T15:25:39.762472
240,-6.2438,0,50,0.300289,0.000390,2026-05-27T15:25:40.163740
241,-6.2242,0,50,0.298788,0.000383,2026-05-27T15:25:40.552137
242,-6.2047,0,50,0.297294,0.000377,2026-05-27T15:25:40.940101
243,-6.2516,0,50,0.295807,0.000362,2026-05-27T15:25:41.327522
